INFO  2021-09-25 23:41:02,468 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-25 23:41:02,588 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-25 23:41:18,822 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2021-09-25 23:41:18,839 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2021-09-25 23:41:18,925 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2021-09-25 23:41:18,967 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2021-09-25 23:41:19,130 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-25 23:41:19,156 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-25 23:41:19,277 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-25 23:41:19,330 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-25 23:41:19,419 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-25 23:41:19,489 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-25 23:41:19,560 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-25 23:41:19,616 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-25 23:41:19,691 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-25 23:41:19,766 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-25 23:41:40,427 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2021-09-25 23:41:40,439 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2021-09-25 23:41:40,538 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2021-09-25 23:41:40,569 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2021-09-25 23:41:40,798 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-25 23:41:40,824 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-25 23:41:41,251 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-25 23:41:41,289 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-25 23:41:41,691 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-25 23:41:41,755 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-25 23:41:42,050 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-25 23:41:42,096 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-25 23:41:42,485 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-25 23:41:42,574 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-25 23:41:58,243 MappingDataService::? - GetWHONetMappingDataWithModel : MethodStart
INFO  2021-09-25 23:41:58,250 MappingDataService::? - GetWHONetMappingDataWithModel : MethodFinish
INFO  2021-09-25 23:41:58,577 MappingDataService::? - SaveWHONetMappingData : MethodStart
INFO  2021-09-25 23:41:58,610 MappingDataService::? - SaveWHONetMappingData : MethodFinish
INFO  2021-09-25 23:42:00,120 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-25 23:42:00,147 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-25 23:42:01,483 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:01,535 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:02,027 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:02,095 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:02,166 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:02,212 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:02,283 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:02,361 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:24,043 MappingDataService::? - GetSpecimenMappingDataWithModel : MethodStart
INFO  2021-09-25 23:42:24,166 MappingDataService::? - GetSpecimenMappingDataWithModel : MethodFinish
INFO  2021-09-25 23:42:24,298 MappingDataService::? - SaveSpecimenMappingData : MethodStart
INFO  2021-09-25 23:42:24,426 MappingDataService::? - SaveSpecimenMappingData : MethodFinish
INFO  2021-09-25 23:42:24,632 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-25 23:42:24,665 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-25 23:42:24,771 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:24,826 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:24,890 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:24,986 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:25,076 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:25,243 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:25,334 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:25,426 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:33,299 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodStart
INFO  2021-09-25 23:42:33,439 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodFinish
INFO  2021-09-25 23:42:33,527 MappingDataService::? - SaveWardTypeMappingData : MethodStart
INFO  2021-09-25 23:42:33,644 MappingDataService::? - SaveWardTypeMappingData : MethodFinish
INFO  2021-09-25 23:42:33,880 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-25 23:42:33,913 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-25 23:42:34,026 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:34,061 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:34,147 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:34,215 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:34,288 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:34,341 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:34,407 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:34,496 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:47,128 MappingDataService::? - SaveMappingData : MethodStart
INFO  2021-09-25 23:42:47,191 MappingDataService::? - SaveMappingData : MethodFinish
INFO  2021-09-25 23:42:47,364 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-25 23:42:47,396 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-25 23:42:47,481 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:47,510 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:47,591 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:47,657 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:47,738 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:47,781 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-25 23:42:47,846 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-25 23:42:47,941 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-25 23:43:48,062 MappingDataService::? - GetMappingDataActiveWithModel : MethodStart
INFO  2021-09-25 23:43:48,167 MappingDataService::? - GetMappingDataActiveWithModel : MethodFinish
