INFO  2021-09-05 23:30:52,804 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:30:52,852 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:30:53,048 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:30:53,124 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 23:30:53,246 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:34:01,979 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:34:02,080 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:34:02,129 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:34:02,238 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:34:02,306 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:34:02,433 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:34:02,483 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:34:02,614 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:34:02,667 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 23:34:02,769 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:34:16,342 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:34:16,444 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:34:16,479 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:34:16,583 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:34:16,619 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:34:16,737 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:34:16,769 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:34:16,898 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:34:16,930 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 23:34:17,031 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:44:36,125 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:44:38,770 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:44:38,959 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:44:39,138 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:44:39,214 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:44:39,479 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:44:39,564 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:44:39,743 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:44:39,868 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 23:44:40,009 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:46:54,496 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:46:54,627 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:46:54,676 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:46:54,793 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:46:54,889 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:46:55,050 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:46:55,170 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:46:55,329 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:46:55,377 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 23:46:55,553 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:47:49,449 MappingDataService::? - GetMappingList : MethodStart
INFO  2021-09-05 23:47:49,603 MappingDataService::? - GetMappingList : MethodFinish
INFO  2021-09-05 23:47:57,853 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:47:57,981 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:47:58,030 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:47:58,162 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:47:58,220 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:47:58,353 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:47:58,427 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:47:58,567 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:47:58,621 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 23:47:58,732 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:48:48,149 MappingDataService::? - GetWardTypeMappingData : MethodStart
INFO  2021-09-05 23:48:48,450 MappingDataService::? - GetWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:48:49,951 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodStart
INFO  2021-09-05 23:48:50,089 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodFinish
INFO  2021-09-05 23:48:50,145 MappingDataService::? - SaveWardTypeMappingData : MethodStart
INFO  2021-09-05 23:48:50,863 MappingDataService::? - SaveWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:48:51,100 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:48:51,215 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:48:51,274 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:48:51,392 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:48:51,468 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:48:51,597 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:48:51,635 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:48:51,774 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:48:51,831 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 23:48:51,956 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:48:54,023 MappingDataService::? - GetWardTypeMappingData : MethodStart
INFO  2021-09-05 23:48:54,140 MappingDataService::? - GetWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:48:55,380 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodStart
INFO  2021-09-05 23:48:55,506 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodFinish
INFO  2021-09-05 23:48:55,602 MappingDataService::? - SaveWardTypeMappingData : MethodStart
INFO  2021-09-05 23:48:55,898 MappingDataService::? - SaveWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:48:56,174 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:48:56,299 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:48:56,368 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:48:56,488 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:48:56,523 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:48:56,666 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:48:56,726 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:48:56,873 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:48:56,939 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
