INFO  2021-09-29 16:12:47,370 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-29 16:12:47,401 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-29 16:12:47,507 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-29 16:13:11,724 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-29 16:13:11,774 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-29 16:13:11,838 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-29 16:13:11,943 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-29 16:13:21,121 WHONETService::? - DeleteWHONET_OrganismListData : MethodStart
INFO  2021-09-29 16:13:32,957 WHONETService::? - DeleteWHONET_OrganismListData : MethodFinish
INFO  2021-09-29 16:13:33,020 WHONETService::? - SaveWHONET_OrganismListData : MethodStart
INFO  2021-09-29 16:13:33,059 WHONETService::? - ClearTCWHONET_OrganismDataByMST_CODE : MethodStart
INFO  2021-09-29 16:13:33,068 WHONETService::? - Get_TCWHONET_Organism_List : MethodStart
INFO  2021-09-29 16:13:33,116 WHONETService::? - Get_TCWHONET_Organism_List : MethodFinish
INFO  2021-09-29 16:13:33,128 WHONETService::? - ClearTCWHONET_OrganismDataByMST_CODE : MethodFinish
INFO  2021-09-29 16:13:40,635 WHONETService::? - SaveWHONET_OrganismListData : MethodFinish
INFO  2021-09-29 16:13:40,740 WHONETService::? - Get_TCWHONET_Organism_List : MethodStart
INFO  2021-09-29 16:13:40,981 WHONETService::? - Get_TCWHONET_Organism_List : MethodFinish
INFO  2021-09-29 16:13:41,067 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-29 16:13:41,178 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-29 16:13:51,828 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-29 16:13:51,947 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-29 16:22:32,644 TRNoticeMessageService::? - GetListWithModelByRole : MethodStart
INFO  2021-09-29 16:22:34,384 TRNoticeMessageService::? - GetListWithModelByRole : MethodFinish
