INFO  2021-09-11 14:15:06,272 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-11 14:15:06,321 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-11 14:15:06,357 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-11 14:15:06,397 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-11 14:15:06,419 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-11 14:15:06,520 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-11 14:16:50,710 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:16:50,835 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:16:51,085 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-11 14:16:51,134 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-11 14:16:51,161 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-11 14:16:51,222 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-11 14:16:51,256 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-11 14:16:51,293 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-11 14:16:51,356 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-11 14:16:51,411 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-11 14:16:51,437 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-11 14:16:51,478 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-11 14:16:51,503 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-11 14:16:51,603 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-11 14:17:46,905 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:17:47,028 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:17:47,216 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-11 14:17:47,258 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-11 14:17:47,281 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-11 14:17:47,333 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-11 14:17:47,370 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-11 14:17:47,406 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-11 14:17:47,424 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-11 14:17:47,467 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-11 14:17:47,489 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-11 14:17:47,531 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-11 14:17:47,553 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-11 14:17:47,689 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-11 14:28:49,847 TRNoticeMessageService::? - GetListWithModelByRole : MethodStart
INFO  2021-09-11 14:28:51,039 TRNoticeMessageService::? - GetListWithModelByRole : MethodFinish
INFO  2021-09-11 14:29:02,342 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:29:02,659 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:29:11,153 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:29:11,306 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:29:11,592 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-11 14:29:11,688 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-11 14:29:11,732 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-11 14:29:11,856 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-11 14:29:11,907 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
